,0
2022-12-01,2723.300048828125
2022-12-02,2722.14990234375
2022-12-05,2682.449951171875
2022-12-06,2690.199951171875
2022-12-07,2650.5
2022-12-08,2649.25
2022-12-09,2609.10009765625
2022-12-12,2613.10009765625
2022-12-13,2625.0
2022-12-14,2615.5
2022-12-15,2578.35009765625
2022-12-16,2565.60009765625
2022-12-19,2599.300048828125
2022-12-20,2621.800048828125
2022-12-21,2584.5
2022-12-22,2577.800048828125
2022-12-23,2502.199951171875
2022-12-26,2524.050048828125
2022-12-27,2544.699951171875
2022-12-28,2544.449951171875
2022-12-29,2543.300048828125
2022-12-30,2547.199951171875
2023-01-02,2575.89990234375
2023-01-03,2557.050048828125
2023-01-04,2518.550048828125
2023-01-05,2514.050048828125
2023-01-06,2536.89990234375
2023-01-09,2596.800048828125
